Frame,Delay_ms,FPS,Direction,CircleDetected
1,1273.93,0.78,Still,1
2,672.98,1.49,Forward Up Left,1
3,1908.67,0.52,Backward Up Right,1
4,1848.44,0.54,Still,1
5,1406.02,0.71,Forward Right,1
6,1386.64,0.72,Forward Down Left,1
7,1015.88,0.98,Backward Up Right,1
8,1042.96,0.96,Forward Down Left,1
9,986.89,1.01,Backward Up Right,1
10,543.66,1.84,Backward Right,1
11,571.57,1.75,Forward Down Right,1
12,549.75,1.82,Up Left,1
13,600.52,1.67,Backward Down,1
14,905.48,1.10,Forward Down Left,1
15,566.67,1.76,Backward Up Right,1
16,628.43,1.59,Forward Down Left,1
17,550.37,1.82,Backward Down,1
18,548.50,1.82,Backward Down,1
19,550.69,1.82,Forward Up Right,1
20,565.72,1.77,Backward Down Left,1
21,555.59,1.80,Still,1
22,543.72,1.84,Forward,1
23,558.20,1.79,Backward Up Left,1
24,560.72,1.78,Forward Up Left,1
25,582.08,1.72,Backward Down,1
26,566.01,1.77,Forward Down Right,1
27,580.67,1.72,Forward Up Left,1
28,563.90,1.77,Backward Down Right,1
29,550.74,1.82,Up Left,1
30,597.07,1.67,Forward Up,1
31,578.27,1.73,Backward Right,1
32,608.78,1.64,Left,1
33,555.12,1.80,Still,1
34,555.33,1.80,Backward Left,1
35,563.44,1.77,Backward,1
36,582.87,1.72,Forward Up Left,1
37,546.30,1.83,Backward Down Left,1
38,546.81,1.83,Forward Up Right,1
39,544.90,1.84,Still,1
40,523.67,1.91,Still,1
41,519.22,1.93,Backward Left,1
42,523.09,1.91,Forward Right,1
43,543.69,1.84,Up,1
44,553.88,1.81,Forward Down Left,1
45,539.84,1.85,Backward Up,1
46,526.50,1.90,Forward Up,1
47,539.76,1.85,Backward Down,1
48,561.83,1.78,Backward,1
49,550.40,1.82,Forward Down Left,1
50,555.44,1.80,Still,1
51,548.01,1.82,Backward Up Right,1
52,1606.29,0.62,Forward Left,1
53,1295.99,0.77,Backward Up Left,1
54,1195.68,0.84,Forward Right,1
55,1324.96,0.75,Forward Down Left,1
56,558.53,1.79,Backward Up Right,1
57,534.46,1.87,Unknown,0
58,536.20,1.86,Still,1
59,540.27,1.85,Still,1
60,548.54,1.82,Still,1
61,564.64,1.77,Still,1
62,575.11,1.74,Still,1
63,566.80,1.76,Still,1
64,529.18,1.89,Left,1
65,554.54,1.80,Left,1
66,525.56,1.90,Left,1
67,851.96,1.17,Still,1
68,776.94,1.29,Right,1
69,550.12,1.82,Right,1
70,530.13,1.89,Right,1
71,532.31,1.88,Right,1
72,543.79,1.84,Right,1
73,549.43,1.82,Left,1
74,552.40,1.81,Left,1
75,538.03,1.86,Up,1
76,546.34,1.83,Up,1
77,539.32,1.85,Still,1
78,530.74,1.88,Down,1
79,529.04,1.89,Down,1
80,535.03,1.87,Down,1
81,519.43,1.93,Down Left,1
82,538.49,1.86,Down,1
83,560.15,1.79,Still,1
84,559.41,1.79,Still,1
85,544.36,1.84,Still,1
86,545.76,1.83,Forward Down,1
87,552.38,1.81,Forward,1
88,529.34,1.89,Still,1
89,535.40,1.87,Backward Up,1
90,543.45,1.84,Still,1
91,531.41,1.88,Backward Up Right,1
92,546.11,1.83,Backward Up,1
93,558.35,1.79,Backward,1
94,546.51,1.83,Still,1
95,535.84,1.87,Still,1
96,563.80,1.77,Backward Right,1
97,1497.14,0.67,Forward Up Right,1
98,1416.25,0.71,Forward Up Left,1
99,1443.98,0.69,Down Right,1
100,1600.45,0.62,Backward Up Right,1
