Timestamp_UTC,Timestamp_Readable,Frame Delay (s),FPS,Accuracy
1747516936.617824,2025-05-18 03:22:16.617,0.397689,2.51,0.0000
1747516936.665401,2025-05-18 03:22:16.665,0.047577,21.02,0.0000
1747516936.6757646,2025-05-18 03:22:16.675,0.010364,96.49,0.0000
1747516936.7503455,2025-05-18 03:22:16.750,0.074581,13.41,0.0000
1747516936.7651703,2025-05-18 03:22:16.765,0.014825,67.45,0.0000
1747516936.7746649,2025-05-18 03:22:16.774,0.009495,105.32,0.0000
1747516936.850681,2025-05-18 03:22:16.850,0.076016,13.16,0.0000
1747516936.8749137,2025-05-18 03:22:16.874,0.024233,41.27,0.0000
1747516936.8843994,2025-05-18 03:22:16.884,0.009486,105.42,0.0000
1747516936.9446957,2025-05-18 03:22:16.944,0.060296,16.58,0.0000
1747516936.9572358,2025-05-18 03:22:16.957,0.012540,79.74,0.0000
1747516936.9675715,2025-05-18 03:22:16.967,0.010336,96.75,0.0000
1747516937.0626495,2025-05-18 03:22:17.062,0.095078,10.52,0.0000
1747516937.0733,2025-05-18 03:22:17.073,0.010650,93.89,0.0000
1747516937.0836763,2025-05-18 03:22:17.083,0.010376,96.37,0.0000
1747516937.1570928,2025-05-18 03:22:17.157,0.073416,13.62,0.0000
1747516937.1682994,2025-05-18 03:22:17.168,0.011207,89.23,0.0000
1747516937.1776125,2025-05-18 03:22:17.177,0.009313,107.38,0.0000
1747516937.250981,2025-05-18 03:22:17.250,0.073369,13.63,0.0000
1747516937.2621398,2025-05-18 03:22:17.262,0.011159,89.62,0.0000
1747516937.2733054,2025-05-18 03:22:17.273,0.011166,89.56,0.0000
1747516937.3199964,2025-05-18 03:22:17.320,0.046691,21.42,0.0000
1747516937.3344605,2025-05-18 03:22:17.334,0.014464,69.14,0.0000
1747516937.3962522,2025-05-18 03:22:17.396,0.061792,16.18,0.0000
1747516937.407315,2025-05-18 03:22:17.407,0.011063,90.39,0.0000
1747516937.459093,2025-05-18 03:22:17.459,0.051778,19.31,0.0000
1747516937.4728558,2025-05-18 03:22:17.472,0.013763,72.66,0.0000
1747516937.5219946,2025-05-18 03:22:17.522,0.049139,20.35,0.0000
1747516937.5308971,2025-05-18 03:22:17.530,0.008903,112.33,0.0000
1747516937.5873797,2025-05-18 03:22:17.587,0.056483,17.70,0.0000
1747516937.597525,2025-05-18 03:22:17.597,0.010145,98.57,0.0000
1747516937.6551847,2025-05-18 03:22:17.655,0.057660,17.34,0.0000
1747516937.6696646,2025-05-18 03:22:17.669,0.014480,69.06,0.0000
1747516937.712235,2025-05-18 03:22:17.712,0.042570,23.49,0.0000
1747516937.7211285,2025-05-18 03:22:17.721,0.008893,112.44,0.0000
1747516937.796022,2025-05-18 03:22:17.796,0.074893,13.35,0.7826
1747516937.806673,2025-05-18 03:22:17.806,0.010651,93.89,0.7826
1747516937.8589299,2025-05-18 03:22:17.858,0.052257,19.14,0.6977
1747516937.8719118,2025-05-18 03:22:17.871,0.012982,77.03,0.6977
1747516937.9245138,2025-05-18 03:22:17.924,0.052602,19.01,0.8475
1747516937.9331179,2025-05-18 03:22:17.933,0.008604,116.22,0.8475
1747516937.9904175,2025-05-18 03:22:17.990,0.057300,17.45,0.8781
1747516938.0018873,2025-05-18 03:22:18.001,0.011470,87.19,0.8781
1747516938.0535514,2025-05-18 03:22:18.053,0.051664,19.36,0.8476
1747516938.0632493,2025-05-18 03:22:18.063,0.009698,103.11,0.8476
1747516938.1187463,2025-05-18 03:22:18.118,0.055497,18.02,0.8350
1747516938.1303005,2025-05-18 03:22:18.130,0.011554,86.55,0.8350
1747516938.1987202,2025-05-18 03:22:18.198,0.068420,14.62,0.8237
1747516938.2088733,2025-05-18 03:22:18.208,0.010153,98.49,0.8237
1747516938.2624128,2025-05-18 03:22:18.262,0.053540,18.68,0.8694
1747516938.273824,2025-05-18 03:22:18.273,0.011411,87.63,0.8694
1747516938.3226259,2025-05-18 03:22:18.322,0.048802,20.49,0.8794
1747516938.3324702,2025-05-18 03:22:18.332,0.009844,101.58,0.8794
1747516938.3874695,2025-05-18 03:22:18.387,0.054999,18.18,0.8555
1747516938.3986912,2025-05-18 03:22:18.398,0.011222,89.11,0.8555
1747516938.4565713,2025-05-18 03:22:18.456,0.057880,17.28,0.8737
1747516938.4681647,2025-05-18 03:22:18.468,0.011593,86.26,0.8737
1747516938.5312886,2025-05-18 03:22:18.531,0.063124,15.84,0.8468
1747516938.5417845,2025-05-18 03:22:18.541,0.010496,95.28,0.8468
1747516938.5953908,2025-05-18 03:22:18.595,0.053606,18.65,0.8839
1747516938.6074717,2025-05-18 03:22:18.607,0.012081,82.78,0.8839
1747516938.6584563,2025-05-18 03:22:18.658,0.050985,19.61,0.8935
1747516938.6700695,2025-05-18 03:22:18.670,0.011613,86.11,0.8935
1747516938.7240875,2025-05-18 03:22:18.724,0.054018,18.51,0.8834
1747516938.733771,2025-05-18 03:22:18.733,0.009684,103.27,0.8834
1747516938.7885728,2025-05-18 03:22:18.788,0.054802,18.25,0.8945
1747516938.798774,2025-05-18 03:22:18.798,0.010201,98.03,0.8945
1747516938.8533294,2025-05-18 03:22:18.853,0.054555,18.33,0.8883
1747516938.8636699,2025-05-18 03:22:18.863,0.010340,96.71,0.8883
1747516938.932434,2025-05-18 03:22:18.932,0.068764,14.54,0.8921
1747516938.9419887,2025-05-18 03:22:18.941,0.009555,104.66,0.8921
1747516938.9985042,2025-05-18 03:22:18.998,0.056515,17.69,0.8938
1747516939.00901,2025-05-18 03:22:19.009,0.010506,95.18,0.8938
1747516939.0260758,2025-05-18 03:22:19.026,0.017066,58.60,0.8837
1747516939.0610769,2025-05-18 03:22:19.061,0.035001,28.57,0.8764
1747516939.0903378,2025-05-18 03:22:19.090,0.029261,34.18,0.8750
1747516939.1197672,2025-05-18 03:22:19.119,0.029429,33.98,0.8860
