Timestamp_UTC,Timestamp_Readable,Direction
1747516936.617824,2025-05-18 03:22:16.617,Still
1747516936.665401,2025-05-18 03:22:16.665,Still
1747516936.6757646,2025-05-18 03:22:16.675,Still
1747516936.7503455,2025-05-18 03:22:16.750,Still
1747516936.7651703,2025-05-18 03:22:16.765,Still
1747516936.7746649,2025-05-18 03:22:16.774,Still
1747516936.850681,2025-05-18 03:22:16.850,Still
1747516936.8749137,2025-05-18 03:22:16.874,Still
1747516936.8843994,2025-05-18 03:22:16.884,Still
1747516936.9446957,2025-05-18 03:22:16.944,Still
1747516936.9572358,2025-05-18 03:22:16.957,Still
1747516936.9675715,2025-05-18 03:22:16.967,Still
1747516937.0626495,2025-05-18 03:22:17.062,Still
1747516937.0733,2025-05-18 03:22:17.073,Still
1747516937.0836763,2025-05-18 03:22:17.083,Still
1747516937.1570928,2025-05-18 03:22:17.157,Still
1747516937.1682994,2025-05-18 03:22:17.168,Still
1747516937.1776125,2025-05-18 03:22:17.177,Still
1747516937.250981,2025-05-18 03:22:17.250,Still
1747516937.2621398,2025-05-18 03:22:17.262,Still
1747516937.2733054,2025-05-18 03:22:17.273,Still
1747516937.3199964,2025-05-18 03:22:17.320,Still
1747516937.3344605,2025-05-18 03:22:17.334,Still
1747516937.3962522,2025-05-18 03:22:17.396,Still
1747516937.407315,2025-05-18 03:22:17.407,Still
1747516937.459093,2025-05-18 03:22:17.459,Still
1747516937.4728558,2025-05-18 03:22:17.472,Still
1747516937.5219946,2025-05-18 03:22:17.522,Still
1747516937.5308971,2025-05-18 03:22:17.530,Still
1747516937.5873797,2025-05-18 03:22:17.587,Still
1747516937.597525,2025-05-18 03:22:17.597,Still
1747516937.6551847,2025-05-18 03:22:17.655,Still
1747516937.6696646,2025-05-18 03:22:17.669,Still
1747516937.712235,2025-05-18 03:22:17.712,Still
1747516937.7211285,2025-05-18 03:22:17.721,Still
1747516937.796022,2025-05-18 03:22:17.796,Still
1747516937.806673,2025-05-18 03:22:17.806,Still
1747516937.8589299,2025-05-18 03:22:17.858,Forward
1747516937.8719118,2025-05-18 03:22:17.871,Still
1747516937.9245138,2025-05-18 03:22:17.924,Still
1747516937.9331179,2025-05-18 03:22:17.933,Still
1747516937.9904175,2025-05-18 03:22:17.990,Left
1747516938.0018873,2025-05-18 03:22:18.001,Still
1747516938.0535514,2025-05-18 03:22:18.053,Left
1747516938.0632493,2025-05-18 03:22:18.063,Still
1747516938.1187463,2025-05-18 03:22:18.118,Still
1747516938.1303005,2025-05-18 03:22:18.130,Still
1747516938.1987202,2025-05-18 03:22:18.198,Still
1747516938.2088733,2025-05-18 03:22:18.208,Still
1747516938.2624128,2025-05-18 03:22:18.262,Still
1747516938.273824,2025-05-18 03:22:18.273,Still
1747516938.3226259,2025-05-18 03:22:18.322,Right
1747516938.3324702,2025-05-18 03:22:18.332,Still
1747516938.3874695,2025-05-18 03:22:18.387,Right
1747516938.3986912,2025-05-18 03:22:18.398,Still
1747516938.4565713,2025-05-18 03:22:18.456,Forward
1747516938.4681647,2025-05-18 03:22:18.468,Still
1747516938.5312886,2025-05-18 03:22:18.531,Forward
1747516938.5417845,2025-05-18 03:22:18.541,Still
1747516938.5953908,2025-05-18 03:22:18.595,Still
1747516938.6074717,2025-05-18 03:22:18.607,Still
1747516938.6584563,2025-05-18 03:22:18.658,Still
1747516938.6700695,2025-05-18 03:22:18.670,Still
1747516938.7240875,2025-05-18 03:22:18.724,Still
1747516938.733771,2025-05-18 03:22:18.733,Still
1747516938.7885728,2025-05-18 03:22:18.788,Still
1747516938.798774,2025-05-18 03:22:18.798,Still
1747516938.8533294,2025-05-18 03:22:18.853,Still
1747516938.8636699,2025-05-18 03:22:18.863,Still
1747516938.932434,2025-05-18 03:22:18.932,Still
1747516938.9419887,2025-05-18 03:22:18.941,Still
1747516938.9985042,2025-05-18 03:22:18.998,Still
1747516939.00901,2025-05-18 03:22:19.009,Still
1747516939.0260758,2025-05-18 03:22:19.026,Still
1747516939.0610769,2025-05-18 03:22:19.061,Still
1747516939.0903378,2025-05-18 03:22:19.090,Still
1747516939.1197672,2025-05-18 03:22:19.119,Still
1747516939.1564374,2025-05-18 03:22:19.156,Still
1747516939.1855073,2025-05-18 03:22:19.185,Still
1747516939.218091,2025-05-18 03:22:19.218,Still
1747516939.2536135,2025-05-18 03:22:19.253,Still
1747516939.2652643,2025-05-18 03:22:19.265,Still
1747516939.3273664,2025-05-18 03:22:19.327,Still
1747516939.3670115,2025-05-18 03:22:19.367,Still
1747516939.393877,2025-05-18 03:22:19.393,Still
1747516939.4239657,2025-05-18 03:22:19.423,Still
1747516939.460547,2025-05-18 03:22:19.460,Still
1747516939.4912841,2025-05-18 03:22:19.491,Still
1747516939.5199854,2025-05-18 03:22:19.519,Still
1747516939.5544043,2025-05-18 03:22:19.554,Still
1747516939.583936,2025-05-18 03:22:19.583,Still
1747516939.6226995,2025-05-18 03:22:19.622,Still
1747516939.6328409,2025-05-18 03:22:19.632,Still
1747516939.6641219,2025-05-18 03:22:19.664,Still
1747516939.7289329,2025-05-18 03:22:19.728,Left
1747516939.7602494,2025-05-18 03:22:19.760,Left
1747516939.7987468,2025-05-18 03:22:19.798,Left
1747516939.8284302,2025-05-18 03:22:19.828,Left
1747516939.8570786,2025-05-18 03:22:19.857,Still
1747516939.892611,2025-05-18 03:22:19.892,Still
1747516939.920139,2025-05-18 03:22:19.920,Still
1747516939.9567611,2025-05-18 03:22:19.956,Still
1747516940.0049233,2025-05-18 03:22:20.004,Still
1747516940.0161383,2025-05-18 03:22:20.016,Still
1747516940.035044,2025-05-18 03:22:20.035,Still
1747516940.0710268,2025-05-18 03:22:20.071,Still
1747516940.1313708,2025-05-18 03:22:20.131,Still
1747516940.1626167,2025-05-18 03:22:20.162,Still
1747516940.1968262,2025-05-18 03:22:20.196,Still
1747516940.2259648,2025-05-18 03:22:20.225,Still
1747516940.2628212,2025-05-18 03:22:20.262,Still
1747516940.292144,2025-05-18 03:22:20.292,Still
1747516940.3199859,2025-05-18 03:22:20.319,Still
1747516940.372877,2025-05-18 03:22:20.372,Still
